NN_Predicted_V1,NN_Predicted_V2,NN_Predicted_V3
2433.955,2433.97,2433.982
2433.3906,2433.4028,2433.4116
2435.174,2435.1875,2435.1926
2437.0454,2437.0593,2437.061
2440.0825,2440.099,2440.0967
2443.0117,2443.0308,2443.0251
2447.034,2447.0576,2447.0488
2451.9678,2451.9976,2451.9863
2451.543,2451.5671,2451.556
2433.2522,2433.5657,2433.4495
2367.7512,2368.0723,2367.9358
2364.7373,2365.086,2364.9377
2414.8267,2415.3198,2415.1414
2411.3657,2411.8303,2411.6606
2411.5833,2411.909,2411.7854
2413.4119,2413.5857,2413.5159
2425.206,2425.1704,2425.1863
2425.2163,2425.187,2425.2053
2424.2908,2424.2666,2424.2866
2421.979,2421.9573,2421.9785
2416.9421,2416.917,2416.9387
2414.9124,2414.8882,2414.9094
2412.8171,2412.7927,2412.8127
2409.9666,2409.9395,2409.9578
2408.0264,2408.0032,2408.015
2407.8735,2407.8481,2407.8582
2409.8972,2409.8716,2409.8792
2412.436,2412.411,2412.4153
2414.788,2414.7627,2414.7642
2417.619,2417.5935,2417.5925
2421.1824,2421.1587,2421.1553
2425.8828,2425.8633,2425.857
2425.7708,2425.7449,2425.7393
2406.704,2407.0457,2406.9128
2344.1597,2344.4407,2344.3086
2338.504,2338.823,2338.6733
2335.721,2336.0552,2335.899
2344.8645,2345.233,2345.0688
2391.486,2391.948,2391.7715
2389.8467,2390.2546,2390.0972
2412.3064,2412.254,2412.2673
2414.422,2414.3801,2414.3953
2416.347,2416.3154,2416.3315
2420.487,2420.4695,2420.486
2417.7837,2417.767,2417.7837
2416.1287,2416.114,2416.13
2415.9644,2415.9526,2415.967
2414.2783,2414.2654,2414.278
2412.4438,2412.4297,2412.4363
2412.7205,2412.7053,2412.7095
2415.5227,2415.5095,2415.5105
2418.2744,2418.2622,2418.26
2420.0984,2420.0854,2420.0806
2420.8765,2420.8606,2420.8538
2423.5898,2423.574,2423.565
2427.951,2427.9382,2427.927
2429.2622,2429.2466,2429.235
2410.1768,2410.5442,2410.4001
2406.3457,2406.7996,2406.6255
2341.7808,2342.116,2341.9575
2346.1902,2346.5564,2346.3884
2397.2095,2397.6985,2397.5107
2397.126,2397.5225,2397.3662
2405.719,2405.8901,2405.8137
2414.6443,2414.5984,2414.6072
2411.8833,2411.8389,2411.8499
2412.2605,2412.2234,2412.2363
2414.6687,2414.6428,2414.656
2411.449,2411.4238,2411.437
2412.2266,2412.2075,2412.2195
2412.171,2412.155,2412.1655
2410.025,2410.0068,2410.016
2408.9614,2408.9365,2408.9436
2409.2083,2409.1821,2409.1875
2411.3735,2411.3486,2411.3508
2413.8506,2413.827,2413.826
2416.4148,2416.3918,2416.3882
2419.28,2419.258,2419.2515
2422.678,2422.6577,2422.649
2427.1536,2427.1367,2427.1255
2427.6846,2427.6628,2427.6519
2423.608,2423.598,2423.5808
2349.5396,2349.3823,2349.4055
2339.041,2338.8484,2338.8816
2353.9158,2353.7605,2353.7827
2419.3792,2419.3298,2419.3286
2416.755,2416.6978,2416.7012
