XGB_Predicted_V1,XGB_Predicted_V2,XGB_Predicted_V3
2437.8774,2424.0576,2419.157
2430.652,2417.8318,2414.9648
2420.5166,2411.8857,2408.9978
2417.039,2405.2744,2402.466
2427.0698,2425.79,2426.9658
2425.8777,2425.6902,2427.4158
2422.1912,2422.9705,2423.0222
2418.6294,2418.902,2418.5215
2416.6614,2415.8174,2417.105
2416.5676,2415.481,2416.072
2415.9104,2414.193,2413.8953
2407.1272,2403.3115,2404.9946
2403.3003,2402.6682,2402.6758
2403.4004,2404.2502,2403.6118
2403.7385,2404.237,2402.9038
2404.7747,2404.831,2403.6128
2405.264,2405.6013,2404.9102
2405.5996,2405.8137,2404.8257
2413.0342,2414.0715,2411.6697
2415.6309,2417.4084,2416.0488
2414.157,2415.3914,2414.2607
2412.1243,2403.1309,2399.619
2349.0708,2352.4976,2341.1262
2344.3716,2349.094,2341.125
2340.7427,2345.9692,2338.112
2348.3662,2345.14,2342.4375
2396.686,2390.7969,2385.1025
2394.718,2386.899,2382.3547
2405.7917,2406.7622,2406.731
2405.0396,2405.2134,2404.6348
2417.2463,2417.6384,2417.6301
2418.154,2418.02,2418.3657
2416.3706,2415.9712,2417.2588
2416.277,2415.5864,2416.643
2416.4185,2415.5276,2416.334
2415.2952,2414.3171,2414.8245
2408.4373,2406.712,2406.8604
2407.346,2404.9915,2405.3645
2409.78,2407.0317,2407.1123
2415.7505,2415.8225,2415.4019
2412.0754,2410.1814,2413.1724
2409.9167,2409.491,2408.7727
2418.5461,2416.8645,2416.4836
2429.6328,2429.4712,2429.2522
2429.335,2430.0166,2430.7197
2417.3186,2407.4429,2405.693
2416.2727,2406.4768,2403.1145
2349.6262,2352.65,2346.1672
2350.6243,2352.907,2348.326
2408.137,2398.186,2395.9753
2399.8223,2393.0881,2389.3293
2400.403,2390.584,2388.7603
2408.142,2407.757,2406.4543
2406.0889,2405.5688,2404.1392
2405.5823,2404.8137,2404.6357
2416.6624,2415.7705,2415.1387
2406.529,2406.2988,2406.979
2409.7827,2407.958,2407.5232
2409.9243,2408.2305,2407.214
2406.7236,2405.0796,2407.3655
2405.0552,2402.9783,2403.243
2405.4277,2403.9248,2404.6936
2405.862,2403.8386,2403.8948
2406.6255,2404.4326,2404.2456
2407.1147,2406.7285,2405.2183
2408.7322,2406.4475,2406.36
2416.455,2416.3035,2416.4685
2426.6462,2426.9236,2427.1921
2423.99,2426.8972,2426.717
2421.0005,2417.669,2418.9001
2344.3792,2342.392,2357.607
2333.469,2333.5256,2348.994
2361.4575,2366.5598,2369.4043
2416.5786,2415.4512,2414.936
2412.5627,2411.8933,2410.7346
2409.7805,2408.4155,2408.5347
2407.4744,2407.2646,2405.852
2405.0994,2405.8777,2405.309
2407.5386,2408.2239,2407.709
2416.9082,2416.797,2416.4185
2415.701,2415.4248,2415.8088
2414.2727,2413.1145,2412.8315
2413.8523,2413.387,2412.232
2409.6492,2407.9182,2408.0078
2406.081,2404.667,2404.4114
2405.6345,2403.9224,2403.7754
2406.5537,2406.137,2406.2092
2407.1406,2406.7307,2407.05
2407.7178,2409.2947,2407.4421
2412.1064,2413.2415,2411.2854
2428.0708,2427.6282,2426.6812
2435.0464,2434.296,2434.4824
2433.5466,2434.0718,2435.8472
2356.4329,2359.1233,2356.5002
2346.9001,2345.7715,2346.9275
2337.4438,2335.3237,2335.287
2322.642,2323.544,2321.7258
2320.8196,2318.262,2317.2388
2317.7932,2320.595,2316.1228
2395.2368,2387.3254,2383.0828
2407.6714,2407.5767,2406.729
2422.7148,2421.5537,2421.509
2421.3735,2421.9617,2421.3218
2421.0344,2420.9907,2420.236
2419.3823,2419.148,2419.533
2419.2114,2418.592,2419.2173
2418.5222,2417.6707,2417.6538
2417.6638,2416.4573,2417.116
2415.7876,2414.279,2414.8127
2415.7505,2416.2483,2416.3801
2417.4512,2418.456,2418.155
2417.8538,2418.6494,2418.9458
2418.1704,2418.5908,2419.1357
2418.1475,2419.9888,2419.6782
2430.6047,2430.5054,2430.939
2436.5718,2435.9585,2436.772
2439.365,2440.8674,2439.1565
2433.2727,2422.7393,2419.9282
2358.9133,2358.1433,2354.1406
2361.5583,2362.003,2357.259
2351.2375,2352.309,2346.4448
2425.0303,2412.5972,2410.2534
2419.1267,2410.2708,2410.6768
2418.452,2407.7996,2406.2595
2428.4148,2427.7153,2428.4324
2426.2607,2425.2925,2427.1707
2435.6748,2435.5715,2435.792
2432.9177,2432.3074,2432.2183
2432.3293,2431.3442,2432.4214
2430.5713,2431.0078,2430.7507
2420.1912,2419.9253,2419.61
2419.179,2418.7,2418.3958
2419.4958,2419.5378,2419.4524
2420.0579,2421.826,2421.0198
2420.803,2422.482,2421.631
2433.0522,2432.7515,2431.8518
2433.369,2432.6929,2433.5164
2433.8528,2433.8582,2434.522
2448.2507,2449.0752,2447.8064
2448.9226,2449.722,2449.5522
2450.3728,2452.4263,2452.7961
2449.4983,2436.5525,2435.1035
2363.38,2363.4697,2357.8936
