LR_Predicted_V1,LR_Predicted_V2,LR_Predicted_V3
2415.6570450162885,2415.6855585862695,2415.6544329455496
2413.9252260184285,2413.9604988087713,2413.9383590319753
2412.2539473104475,2412.2309662063417,2412.236041221917
2409.8001245737073,2409.8238610704243,2409.8184060290455
2408.1632784074545,2408.222593103051,2408.2020638659596
2407.384918603301,2407.390244708657,2407.4042098620534
2409.198998247981,2409.1950967279076,2409.220015526116
2411.4145619672536,2411.4069959637523,2411.4416262438895
2413.3116141813994,2413.360827976167,2413.3399685290456
2415.5747423928974,2415.593163858056,2415.5925304797292
2418.4398079174757,2418.4794992771745,2418.4778731921315
2422.4465152829885,2422.4830133882165,2422.4843383410575
2421.1889912408587,2421.1790707495807,2421.191264610589
2395.5753980010745,2395.637205458879,2395.649619407952
2327.4001877373457,2327.4200301927326,2327.4348215869068
2318.471522566676,2318.5048170310256,2318.4907750323414
2315.337370430827,2315.341603003144,2315.3337492755054
2327.1916548484564,2327.2231721681355,2327.214723930657
2378.7465406650304,2378.751371258199,2378.743368187249
2380.2910299795863,2380.3257854861017,2380.318442039788
2410.0513577097654,2410.0797556829452,2410.0488207629323
2413.2930706113575,2413.3265296024083,2413.278066063225
2415.450787257552,2415.464318293035,2415.461847496331
2419.523468360305,2419.5372552138565,2419.5095809558034
2417.1453713577985,2417.1382360857724,2417.140092125237
2415.7716293019057,2415.78867197603,2415.7679207995534
2415.966870729327,2415.926792272627,2415.9261159899834
2414.7039871186016,2414.7488879305124,2414.691505699456
2413.122101716399,2413.1225157295166,2413.102675743401
2413.4903739279507,2413.4850294594467,2413.4500173571705
2416.164583737254,2416.180020651668,2416.153091697991
2418.7176256555317,2418.7296987612544,2418.7082879260183
2420.1532714003324,2420.197033828944,2420.1389226916435
2420.263733586669,2420.2985118840634,2420.2764837267996
2422.259084855914,2422.301699437648,2422.2711187365653
2425.8958140820264,2425.8865477328,2425.878656883538
2426.1501383727787,2426.190887874812,2426.164096031487
2400.2214857810736,2400.2798063327373,2400.237279930413
2393.8593353289366,2393.9114170004427,2393.8750820544365
2324.0018921512365,2324.0379197393354,2324.0095518115163
2328.3395025056598,2328.3671105761823,2328.330687828362
